SUBWAYST_ROUTE_NO,SUBWAYST_NM,TRRSRT_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,TEL_NO,HMPG_URL,OPER_TIME,BASE_DE
3호선,충무로,경성일보필동사옥터,서울특별시 중구 필동1가,11,11140,126.992458,37.561089,,,,20221231
4호선,충무로,경성일보필동사옥터,서울특별시 중구 필동1가,11,11140,126.992458,37.561089,,,,20221231
3호선,안국,경운동 민병옥 가옥,서울특별시 종로구 경운동,11,11110,126.986415,37.575202,,,,20221231
3호선,경복궁,경찰박물관,서울특별시 종로구 새문안로 41,11,11110,126.969666,37.56902,02-3150-3681,http://www.policemuseum.go.kr/,09:30~17:30,20221231
5호선,광화문,경찰박물관,서울특별시 종로구 새문안로 41,11,11110,126.969666,37.56902,02-3150-3681,http://www.policemuseum.go.kr/,09:30~17:30,20221231
1호선,신창,경찰충혼탑,충청남도 아산시 신창면 읍내리 670-4,44,44200,126.9256,36.767899,,,,20221231
5호선,서대문,경희궁,서울특별시 종로구 새문안로 55,11,11110,126.970823,37.570489,02-724-0274,,09:00~18:00,20221231
6호선,이태원,고(엔틱)가구거리,서울특별시 용산구 이태원동,11,11170,126.992524,37.538519,,,,20221231
2호선,을지로4가,고당기념관,서울특별시 중구 저동2가,11,11140,126.989789,37.564247,,,,20221231
5호선,을지로4가,고당기념관,서울특별시 중구 저동2가,11,11140,126.989789,37.564247,,,,20221231
4호선,과천,과천향교,경기도 과천시 자하동길 18,41,41290,126.987388,37.433683,02-502-2944,,10:00~16:00,20221231
6호선,효창공원앞,과학동아천문대,서울특별시 용산구 청파로 109,11,11170,126.963353,37.533617,02-3148-0704,http://star.dongascience.com/,09:00~22:00,20221231
1호선,종각,관광안내전시관,서울특별시 중구 청계천로 40 한국관광공사 K-Style Hub 2층~5층,11,11140,126.981615,37.568511,02-729-9497,korean.visitkorea.or.kr/other/hub_01.html,09:00~19:00,20221231
3호선,안국,관상감 관천대,서울특별시 종로구 계동,11,11110,126.986929,37.58236,042-481-4650,,,20221231
2호선,서울대입구,관악산,경기도 과천시 중앙동,41,41290,126.976944,37.433971,02-874-4900,http://www.bongilspa.co.kr/,00:00~24:00,20221231
3호선,충무로,관훈동 민씨가옥,서울특별시 중구 퇴계로34길 28,11,11140,126.994106,37.558878,,,,20221231
4호선,충무로,관훈동 민씨가옥,서울특별시 중구 퇴계로34길 28,11,11140,126.994106,37.558878,,,,20221231
1호선,종로5가,광장시장,서울특별시 종로구 창경궁로 88,11,11110,127.000043,37.570299,02-2267-0291,kwangjangmarket.co.kr/,09:00~18:00,20221231
5호선,광화문,광화문광장,서울특별시 종로구 세종대로 172,11,11110,126.976092,37.571761,02-120,http://plaza.seoul.go.kr/gwanghwamun,,20221231
6호선,광흥창,광흥당,서울특별시 마포구 창전동,11,11440,126.930088,37.550278,02-312-1100,,09:00~18:00,20221231
2호선,동대문역사문화공원,광희문,서울특별시 중구 광희동2가,11,11140,127.008424,37.563945,02-3369-5882,,,20221231
4호선,동대문역사문화공원,광희문,서울특별시 중구 광희동2가,11,11140,127.008424,37.563945,02-3369-5882,,,20221231
5호선,동대문역사문화공원,광희문,서울특별시 중구 광희동2가,11,11140,127.008424,37.563945,02-3369-5882,,,20221231
6호선,신당,광희문,서울특별시 중구 광희동2가,11,11140,127.008424,37.563945,02-3369-5882,,,20221231
7호선,논현,교보문고,서울특별시 서초구 강남대로 465 교보생명보험(주)서초사옥,11,11650,127.024127,37.503787,1544-1900,http://www.kyobobook.co.kr/storen/MainStore.laf?SITE=15,09:30~22:00,20221231
5호선,광화문,교보문고,서울특별시 종로구 종로 1 교보생명빌딩,11,11110,126.977857,37.570965,1544-1900,http://www.kyobobook.co.kr/,09:30~22:00,20221231
1호선,시청,구 러시아 공사관,서울특별시 중구 정동,11,11140,126.97314,37.566617,,,,20221231
2호선,시청,구 러시아 공사관,서울특별시 중구 정동,11,11140,126.97314,37.566617,,,,20221231
5호선,서대문,구 러시아 공사관,서울특별시 중구 정동,11,11140,126.97314,37.566617,,,,20221231
1호선,구로,구로기계공구상가,서울특별시 구로구 구로중앙로 198 구로기계공구상가,11,11530,126.880801,37.504156,,,,20221231
5호선,발산,구암공원,서울특별시 강서구 허준로5길 42,11,11500,126.853727,37.567599,02-2600-4196,,00:00~24:00,20221231
2호선,강남,국기원기념관,서울특별시 강남구 테헤란로7길 21,11,11320,127.029775,37.500887,02-567-1058,,09:00~17:30,20221231
4호선,수유,국립 4.19묘지,서울특별시 강북구 수유동 580-1,11,11305,127.007668,37.649042,02-996-0419,http://419.mpva.go.kr/,06:00~18:00,20221231
4호선,대공원,국립과천과학관,경기도 과천시 상하벌로 110 국립과천과학관,41,41290,127.00411,37.438934,02-3677-1500,http://www.sciencecenter.go.kr/,09:30~17:30,20221231
3호선,남부터미널,국립국악박물관,서울특별시 서초구 남부순환로 2364,11,11650,127.009214,37.477749,02-580-3130,http://www.gugak.go.kr/site/main/index001,10:00~18:00,20221231
3호선,남부터미널,국립국악원,서울특별시 서초구 남부순환로 2364,11,11650,127.009214,37.477749,02-580-3300,http://www.gugak.go.kr/,00:00~24:00,20221231
3호선,경복궁,국립민속박물관,서울특별시 종로구 삼청로 37,11,11110,126.978235,37.579789,02-3704-3114,http://www.nfm.go.kr/,09:00 ~ 18:00,20221231
6호선,고려대,국립산림과학원(홍릉수목원),서울특별시 동대문구 회기로 57,11,11230,127.043615,37.593195,02-961-2777,http://www.forest.go.kr/newkfsweb/kfs/idx/SubIndex.do?orgId=kfri&m,10:30~15:30,20221231
4호선,혜화,국립서울과학관,서울특별시 종로구 창경궁로 215 국립어린이과학관,11,11110,126.996926,37.582365,02-3668-3350,http://www.ssm.go.kr/,09:30~17:30,20221231
7호선,남성,국립서울현충원,서울특별시 동작구 동작동 271-18,11,11590,126.97385,37.499973,02-813-9625,www.snmb.mil.kr/,,20221231
3호선,동대입구,국립중앙극장,서울특별시 중구 장충단로 59,11,11140,126.999901,37.552935,02-2280-4114,http://www.ntok.go.kr/,,20221231
1호선,이촌,국립중앙박물관,서울특별시 용산구 서빙고로 137,11,11170,126.97995,37.523724,02-2077-9000,http://www.museum.go.kr/,10:00~18:00,20221231
4호선,이촌,국립중앙박물관,서울특별시 용산구 서빙고로 137,11,11170,126.97995,37.523724,02-2077-9000,http://www.museum.go.kr/,10:00~18:00,20221231
6호선,녹사평,국립중앙박물관,서울특별시 용산구 서빙고로 137,11,11170,126.97995,37.523724,02-2077-9000,http://www.museum.go.kr/,10:00~18:00,20221231
4호선,대공원,국립현대미술관,경기도 과천시 광명로 313 국립현대미술관,41,41290,127.019875,37.431046,02-2188-6000,http://www.moca.go.kr/,10:00~17:00,20221231
4호선,동작,국립현충원,서울특별시 동작구 동작동 271-18,11,11590,126.97385,37.499973,02-813-9625,http://www.mnd.go.kr/,06:00~18:00,20221231
5호선,오목교,국제선센터 템플스테이,서울특별시 양천구 목동동로 167,11,11470,126.870111,37.520796,02-2650-2213,http://seoncenter.templestay.com/,,20221231
9호선,국회의사당,국회의사당,서울특별시 영등포구 의사당대로 1,11,11560,126.916558,37.530385,02-788-2114,http://www.assembly.go.kr/,,20221231
1호선,시청,궁중유물전시관,서울특별시 중구 정동,11,11140,126.97314,37.566617,,,,20221231
2호선,시청,궁중유물전시관,서울특별시 중구 정동,11,11140,126.97314,37.566617,,,,20221231
1호선,종로3가,권동진집터,서울특별시 종로구 돈의동,11,11110,126.990737,37.571986,,,,20221231
5호선,종로3가,권동진집터,서울특별시 종로구 돈의동,11,11110,126.990737,37.571986,,,,20221231
1호선,종로3가,권오설아지트터(6.10만세운동추진거점),서울특별시 종로구 장사동,11,11110,126.994046,37.569239,,,,20221231
5호선,종로3가,권오설아지트터(6.10만세운동추진거점),서울특별시 종로구 장사동,11,11110,126.994046,37.569239,,,,20221231
1호선,오산대,궐리사,경기도 오산시 매홀로 3 오산시궐리사,41,41370,127.062611,37.159031,031-373-0151,,,20221231
2호선,을지로입구,그레뱅뮤지엄,서울특별시 중구 을지로 23 을지로별관,11,11140,126.980367,37.566247,02-777-4700,http://www.grevin-seoul.com/ko,10:00~18:00,20221231
5호선,방화,근린공원,서울특별시 강서구 금낭화로 176 방화근린공원관리사무소,11,11500,126.814124,37.58094,,,,20221231
5호선,신금호,금남시장,서울특별시 성동구 독서당로 303-7,11,11200,127.022708,37.548458,02-2252-5302,,,20221231
5호선,신금호,금호산,서울특별시 성동구 금호동2가,11,11200,127.021179,37.552888,,,,20221231
9호선,중앙보훈병원,길동생태공원,서울특별시 강동구 천호대로 1291,11,11740,127.153556,37.53926,02-472-2770,http://parks.seoul.go.kr/gildong,10:00~16:00,20221231
5호선,길동,길동자연생태공원,서울특별시 강동구 천호대로 1291,11,11740,127.153556,37.53926,02-472-2770,http://parks.seoul.go.kr/gildong,10:00~16:00,20221231
5호선,까치산역,까치산 시장,서울특별시 강서구 강서로12길 14,11,11500,126.847875,37.531546,02-2606-4500,http://kkachisansijang.modoo.at,,20221231
6호선,창신역,낙산공원,서울특별시 종로구 낙산길 41,11,11110,127.006528,37.580599,02-743-7985,,00:00~24:00,20221231
2호선,낙성대,낙성대,서울특별시 관악구 낙성대로 77 낙성대공원,11,11620,126.959758,37.471431,,,,20221231
3호선,종로3가,"낙원떡, 악기상가",서울특별시 종로구 낙원동,11,11110,126.988624,37.572581,,,,20221231
5호선,종로3가,"낙원떡, 악기상가",서울특별시 종로구 낙원동,11,11110,126.988624,37.572581,,,,20221231
1호선,시청,난타전용극장,서울특별시 중구 명동길 26 유네스코회관,11,11140,126.983767,37.563465,02-739-8288,http://www.nanta.co.kr/,,20221231
2호선,시청,난타전용극장,서울특별시 중구 명동길 26 유네스코회관,11,11140,126.983767,37.563465,02-739-8288,http://www.nanta.co.kr/,,20221231
4호선,회현,남대문,서울특별시 중구 세종대로 40,11,11140,126.975326,37.559923,042-481-4650,,,20221231
4호선,회현,남대문시장,서울특별시 중구 남대문시장4길 21,11,11140,126.977724,37.559223,02-753-2805,http://namdaemunmarket.co.kr/,00:00~23:00,20221231
6호선,한강진역,남산(N서울타워),서울특별시 용산구 남산공원길 126,11,11170,126.990751,37.550857,02-3455-9277,http://www.nseoultower.com/,10:00~23:00,20221231
4호선,충무로,남산골 한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을,11,11140,126.994106,37.558878,02-2261-0517,http://hanokmaeul.or.kr/,09:00~21:00,20221231
3호선,충무로,남산골한옥마을,서울특별시 중구 퇴계로34길 28 남산골한옥마을,11,11140,126.994106,37.558878,02-2261-0517,http://hanokmaeul.or.kr/,09:00~21:00,20221231
6호선,한강진역,남산야외식물원,서울특별시 용산구 소월로 323,11,11170,126.997021,37.541539,02-798-3771,,00:00~24:00,20221231
4호선,명동,남산케이블카,서울특별시 중구 소파로 83,11,11140,126.983995,37.55661,02-753-2403,http://www.cablecar.co.kr/,10:00~23:00,20221231
8호선,산성,남한산성,경기도 광주시 남한산성면 산성리 산23,41,41610,127.178543,37.479165,031-743-6610,http://www.namhansansung.or.kr/,,20221231
1호선,망월사,노강서원,경기도 의정부시 동일로122번길 153,41,41150,127.06294,37.700032,,,,20221231
1호선,노량진,노량진 수산시장,서울특별시 동작구 노들로 674 노량진수산물도매시장,11,11590,126.936898,37.514586,02-2254-8000,http://www.susansijang.co.kr/,00:00~24:00,20221231
9호선,노량진,노량진의밤 야간난전 2019,서울특별시 동작구 노량진로 178,11,11590,126.945704,37.513421,02-820-9657,,,20221231
1호선,소요산,노르웨이참전기념비,경기도 동두천시 상봉암동,41,41250,127.061425,37.948066,,,,20221231
1호선,녹천,노원 에코센터,서울특별시 노원구 덕릉로 460,11,11350,127.059648,37.644548,02-3392-4910,ecocenter.nowon.kr/,,20221231
1호선,종각,놀이똥산 서울점,서울특별시 종로구 인사동5길 41 하나빌딩 지하1층,11,11110,126.984173,37.571867,02-2034-0606,http://playpoop.com/,10:00~20:00,20221231
4호선,대야미,누리천문대,경기도 군포시 대야2로 139,41,41410,126.915353,37.330287,031-390-8674,http://www.gunpolib.go.kr/nuri/,,20221231
1호선,두정,다산농원,충청남도 천안시 서북구 성성동,44,44133,127.126512,36.844025,,,,20221231
3호선,동대입구,다산성곽길,서울특별시 중구 신당동 832,11,11140,127.006845,37.555877,,,,20221231
1호선,종로3가,단성사,서울특별시 종로구 묘동,11,11110,126.991739,37.572436,,,,20221231
5호선,종로3가,단성사,서울특별시 종로구 묘동,11,11110,126.991739,37.572436,,,,20221231
4호선,한대앞,단원조각공원,경기도 안산시 상록구 성호로 131 성호 이익 기념관,41,41271,126.859604,37.315057,031-481-2066,,,20221231
1호선,종로3가,대관원터,서울특별시 종로구 관수동,11,11110,126.990471,37.569082,,,,20221231
5호선,종로3가,대관원터,서울특별시 종로구 관수동,11,11110,126.990471,37.569082,,,,20221231
3호선,일원,대모산,서울특별시 강남구 개포동 대모산,11,11320,127.062593,37.480284,,,,20221231
4호선,혜화,대학로 예술의 거리,서울특별시 종로구 동숭동,11,11110,127.004876,37.581405,,,,20221231
1호선,시청,덕수궁,서울특별시 중구 세종대로 99 덕수궁,11,11140,126.97495,37.565876,02-771-9951,www.deoksugung.go.kr/,,20221231
2호선,시청,덕수궁,서울특별시 중구 세종대로 99 덕수궁,11,11140,126.97495,37.565876,02-771-9951,www.deoksugung.go.kr/,10:00~19:00,20221231
5호선,광화문,덕수궁,서울특별시 중구 세종대로 99 덕수궁,11,11140,126.97495,37.565876,02-771-9951,http://www.deoksugung.go.kr/,09:00~20:00,20221231
1호선,시청,덕수궁 돌담길,서울특별시 중구 세종대로19길 24 영국대사관,11,11140,126.974567,37.567395,,,,20221231
2호선,시청,덕수궁 돌담길,서울특별시 중구 세종대로19길 24 영국대사관,11,11140,126.974567,37.567395,,,,20221231
1호선,시청,덕수궁미술관,서울특별시 중구 세종대로 99,11,11140,126.97495,37.565876,02-2022-0600,www.mmca.go.kr/,10:00~19:00,20221231
2호선,시청,덕수궁미술관,서울특별시 중구 세종대로 99,11,11140,126.97495,37.565876,02-2022-0600,www.mmca.go.kr/,,20221231
3호선,원당,덕양서원,경기도 고양시 덕양구 고양대로 1445-46,41,41281,126.845485,37.654882,031-370-3065,,,20221231
1호선,보산,도담도담전래놀이연구소,경기도 동두천시 중앙로353번길 14,41,41250,127.056371,37.913572,031-864-3246,http://blog.naver.com/dodamplay,10:00~19:00,20221231
7호선,춘의,도당수목원,경기도 부천시 성곡로63번길 99,41,41190,126.791456,37.516557,032-320-3000,,,20221231
7호선,부천시청,도레미파크,경기도 부천시 소향로 197,41,41190,126.769839,37.50144,070-5056-0478,http://www.doremidino.com/,12:00~20:00,20221231
1호선,방학,도봉구_1711-01서울유아숲체험장,서울특별시 도봉구 방학동 678,11,11320,127.041821,37.662434,,,,20221231
1호선,도봉산,도봉서원,서울특별시 도봉구 도봉산길 90,11,11320,127.029143,37.688171,,,,20221231
7호선,도봉산,도봉서원,서울특별시 도봉구 도봉산길 90,11,11320,127.029143,37.688171,,,,20221231
7호선,강남구청,도산 안창호 기념관,서울특별시 강남구 도산대로45길 20 도산전시관,11,11320,127.035551,37.523947,02-541-1800,http://www.ahnchangho.or.kr/,11:00~18:00,20221231
7호선,강남구청역,도산공원,서울특별시 강남구 도산대로45길 20 도산전시관,11,11320,127.035551,37.523947,,,00:00~24:00,20221231
3호선,독립문,독립문,서울특별시 서대문구 현저동 941,11,11410,126.959602,37.572283,,,,20221231
5호선,서대문,돈의문박물관마을,서울특별시 종로구 신문로2가 7-24,11,11110,126.968796,37.568886,02-739-6994,http://dmvillage.info/,10:00~19:00,20221231
1호선,동묘앞,동관왕묘,서울특별시 종로구 숭인동,11,11110,127.018946,37.575576,,,,20221231
6호선,동묘앞,동관왕묘,서울특별시 종로구 숭인동,11,11110,127.018946,37.575576,,,,20221231
1호선,동대문,동대문,서울특별시 종로구 종로 288 흥인지문,11,11110,127.009698,37.571173,,,,20221231
2호선,동대문역사문화공원,동대문시장,서울특별시 중구 을지로6가,11,11140,126.979213,37.565381,,,,20221231
4호선,동대문역사문화공원,동대문시장,서울특별시 중구 을지로6가,11,11140,126.979213,37.565381,,,,20221231
5호선,동대문역사문화공원,동대문시장,서울특별시 중구 을지로6가,11,11140,126.979213,37.565381,,,,20221231
6호선,신당,동대문역사문화공원,서울특별시 중구 신당동,11,11140,127.013665,37.557916,02-2266-7188,http://korean.visitkorea.or.kr/kor/bz15/where/where_tour.jsp?cid=190,00:00~24:00,20221231
2호선,동대문역사문화공원,동대문역사문화공원,서울특별시 중구 을지로 281,11,11140,127.009765,37.566984,02-2266-7188,http://www.ddp.or.kr,00:00~24:00,20221231
4호선,동대문역사문화공원,동대문역사문화공원,서울특별시 중구 을지로 281,11,11140,127.009765,37.566984,02-2266-7188,http://www.ddp.or.kr,00:00~24:00,20221231
5호선,동대문역사문화공원,동대문역사문화공원,서울특별시 중구 을지로 281,11,11140,127.009765,37.566984,02-2266-7188,http://www.ddp.or.kr,,20221231
2호선,동대문역사문화공원,동대문운동장기념관,서울특별시 중구 신당동 853,11,11140,127.011391,37.567304,,,,20221231
5호선,동대문역사문화공원,동대문운동장기념관,서울특별시 중구 신당동 853,11,11140,127.011391,37.567304,,,09:00~19:00,20221231
1호선,소요산,동두천맛거리,경기도 동두천시 상봉암동,41,41250,127.061425,37.948066,,,,20221231
1호선,보산,동두천시외국인관광특구,경기도 동두천시 생연동,41,41250,127.063579,37.903863,,,,20221231
1호선,동두천중앙,두드림스파,경기도 동두천시 삼육사로 1041 지번,41,41250,127.066053,37.899729,,,,20221231
1호선,창동,둘리뮤지엄,서울특별시 도봉구 시루봉로1길 6,11,11320,127.027604,37.652325,02-990-2200,http://www.doolymuseum.or.kr/,10:00~18:00,20221231
1호선,보산,드라마[응답하라1988]촬영지,경기도 동두천시 생연동,41,41250,127.063579,37.903863,,,,20221231
2호선,구의,드라마[응답하라1988]촬영지,서울특별시 광진구 자양동,11,11215,127.07452,37.531702,,,,20221231
7호선,뚝섬유원지,뚝섬유원지,서울특별시 광진구 자양동 427-1,11,11215,127.073055,37.529402,02-3780-0521,,,20221231
1호선,종각,런닝맨 인사동점,서울특별시 종로구 인사동5길 41 하나빌딩 지하1층,11,11110,126.984173,37.571867,02-2034-0606,http://www.running-man.kr,10:00~20:00,20221231
3호선,원흥,렛츠런팜 원당,경기도 고양시 덕양구 서삼릉길 233-112,41,41281,126.873575,37.664146,02-509-2672,,09:00~17:00,20221231
1호선,녹천,로보카폴리어린이교통공원,서울특별시 노원구 덕릉로 483,11,11350,127.062558,37.64567,,,,20221231
9호선,김포공항,롯데몰 김포공항,서울특별시 강서구 하늘길 77,11,11500,126.797278,37.561181,02-6116-4000,,,20221231
2호선,잠실,롯데월드,서울특별시 송파구 올림픽로 240,11,11710,127.097033,37.511251,02-1661-2000,http://www.lotteworld.com/,09:30~22:00,20221231
8호선,잠실,롯데월드,서울특별시 송파구 올림픽로 240,11,11710,127.097033,37.511251,02-1661-2000,http://www.lotteworld.com/,09:30~22:00,20221231
2호선,잠실,롯데월드 민속관,서울특별시 송파구 올림픽로 240 롯데월드,11,11710,127.097033,37.511251,1661-2000,http://www.lotteworld.com/museum/,10:00~20:00,20221231
8호선,잠실,롯데월드 민속관,서울특별시 송파구 올림픽로 240 롯데월드,11,11710,127.097033,37.511251,1661-2000,http://www.lotteworld.com/museum/,10:00~20:00,20221231
2호선,잠실,롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,11,11710,127.102669,37.512889,1661-2000,http://www.lotteworld.com/aquarium/index.asp,10:00~20:00,20221231
8호선,잠실,롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,11,11710,127.102669,37.512889,1661-2000,http://www.lotteworld.com/aquarium/index.asp,10:00~20:00,20221231
6호선,이태원,루프탑 9room,서울특별시 용산구 녹사평대로46길 69,11,11170,126.990382,37.537915,010-8608-8158,http://www.instagram.com/rooftop9room_official,09:00~23:00,20221231
6호선,한강진역,리움미술관,서울특별시 용산구 이태원로55길 60-16,11,11170,126.999053,37.538511,02-2014-6900,http://www.leeum.org/,10:30~18:00,20221231
5호선,아차산,리틀엔젤스 예술회관,서울특별시 광진구 천호대로 664 선화예술중고등학교,11,11215,127.087642,37.550438,070-7124-1740,http://www.uac.co.kr/,,20221231
5호선,마장,마장동 고기구이 골목,서울특별시 성동구 마장동 437,11,11200,127.041441,37.57112,,,,20221231
6호선,공덕,마포갈매기골목,서울특별시 마포구 도화동,11,11440,126.950017,37.539761,,,,20221231
6호선,월드컵경기장(성산)역,마포농수산물시장,서울특별시 마포구 월드컵로 235,11,11440,126.898652,37.56472,02-300-5060,https://www.siksinhot.com/P/1119890,07:00~21:00,20221231
6호선,공덕,마포전골목,서울특별시 마포구 만리재로 19,11,11440,126.953162,37.544673,,,,20221231
1호선,관악,만안교,경기도 안양시 만안구 석수동,41,41171,126.918491,37.426152,,,,20221231
6호선,망원,망리단길,서울특별시 마포구 망원동 403-7,41,11440,126.905213,37.554933,,,,20221231
6호선,망원,망원 한강공원,서울특별시 마포구 마포나루길 467 한강공원망원지구사무소,11,11440,126.899886,37.552352,02-3780-0601,http://hangang.seoul.go.kr/archives/46737,,20221231
6호선,망원,망원시장,서울특별시 마포구 포은로8길 14,11,11440,126.905591,37.556171,02-335-3591,https://mangwonsijang.modoo.at,08:00~22:00,20221231
6호선,망원,망원정터,서울특별시 마포구 동교로8안길 23,11,11440,126.904586,37.549809,02-3153-8350,,,20221231
1호선,망월사,망월사(경기),경기도 의정부시 망월로28번길 211-500 (호원동),41,41150,127.021452,37.704804,031-873-7744,,,20221231
6호선,월드컵경기장(성산)역,매봉산,서울특별시 마포구 상암동,11,11440,126.879851,37.570752,,,,20221231
2호선,을지로입구,명동 패션의 거리,서울특별시 중구 명동2가,11,11140,126.985246,37.56291,,,,20221231
4호선,명동,명동성당,서울특별시 중구 명동길 74,11,11140,126.986848,37.563303,02-774-1784,http://www.mdsd.or.kr/,,20221231
9호선,등촌,목동깨비시장,서울특별시 양천구 목동중앙북로6길 5,11,11470,126.865228,37.548176,02-2620-3474,,,20221231
9호선,등촌,목동도깨비시장,서울특별시 양천구 목동중앙북로6길 5,11,11470,126.865228,37.548176,02-2620-3474,,,20221231
5호선,오목교,목동운동장,서울특별시 양천구 안양천로 939,11,11470,126.881039,37.530649,02-2640-3848,,,20221231
1호선,동두천중앙,목행선선생묘역,경기도 동두천시 지행동,41,41250,127.064563,37.889887,,,,20221231
1호선,보산,못골생태공원,경기도 동두천시 생연동,41,41250,127.063579,37.903863,,,,20221231
5호선,올림픽공원(한국체대)역,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원,11,11710,127.115408,37.520356,02-2147-2001,http://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=174798,,20221231
8호선,몽촌토성,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원,11,11710,127.115408,37.520356,02-2147-2001,,,20221231
9호선,한성백제,몽촌토성,서울특별시 송파구 올림픽로 424 올림픽공원,11,11710,127.115408,37.520356,02-2147-2001,http://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1747984,,20221231
1호선,동묘앞,묘각사 템플스테이,서울특별시 종로구 종로63가길 31,11,11110,127.018664,37.575456,02-763-3109,http://www.myogaksa.net/,,20221231
6호선,동묘앞,묘각사 템플스테이,서울특별시 종로구 종로63가길 31,11,11110,127.018664,37.575456,02-763-3109,http://www.myogaksa.net/,,20221231
7호선,까치울,무릉도원수목원,경기도 부천시 길주로 660,41,41190,126.815674,37.505143,032-320-3000,http://ecopark.bucheon.go.kr/,09:30~17:00,20221231
1호선,종로3가,무산자동맹회회관터,서울특별시 종로구 관수동,11,11110,126.990471,37.569082,,,,20221231
5호선,종로3가,무산자동맹회회관터,서울특별시 종로구 관수동,11,11110,126.990471,37.569082,,,,20221231
