FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,REPRSNT_MENU_NM,MENU_PRC,BASE_DE,lat,lon,price
낙원각,부산광역시광역시 사상구 사상로 7,26,26530,128.9988192,35.15072688,부산,짜장면,5000.0,20241231,35.15072688,128.9988192,5000.0
옥미아구찜 망미본점,부산광역시광역시 수영구 망미번영로55번길 35,26,26500,129.1088122,35.17371106,부산,아구찜,30000.0,20241231,35.17371106,129.1088122,30000.0
개미집 본점,부산광역시광역시 중구 중구로30번길 22,26,26110,129.0301169,35.10052926,부산,낙곱새,11000.0,20241231,35.10052926,129.0301169,11000.0
청해진,서울특별시 강동구 강동대로 187,11,11740,127.1274211,37.52481547,서울,산낙지불고기(1인분),13000.0,20241231,37.52481547,127.1274211,13000.0
장군식당,서울특별시 노원구 석계로9길 66,11,11350,127.0610886,37.61583115,서울,숯불족발,32000.0,20241231,37.61583115,127.0610886,32000.0
성천막국수,서울특별시 동대문구 답십리로48나길 2,11,11230,127.0578139,37.56990105,서울,막국수,6500.0,20241231,37.56990105,127.0578139,6500.0
선동 보리밥,서울특별시 성북구 성북로 134-4,11,11290,126.995139,37.59468334,서울,보리밥,9000.0,20241231,37.59468334,126.995139,9000.0
선천집,서울특별시 종로구 인사동14길 5,11,11110,126.9863118,37.57311986,서울,한식,12000.0,20241231,37.57311986,126.9863118,12000.0
명동칼국수,서울특별시 중구 을지로 12,11,11140,126.9786312,37.56562883,서울,명동칼국수,7000.0,20241231,37.56562883,126.9786312,7000.0
동신면가,서울특별시 강동구 올림픽로 803,11,11740,127.1281369,37.5528781,서울,평안냉면 (물 / 비빔),9000.0,20241231,37.5528781,127.1281369,9000.0
대호정,서울특별시 금천구 시흥대로52길 51,11,11545,126.9017543,37.45359918,서울,돼지갈비(1인),11000.0,20241231,37.45359918,126.9017543,11000.0
성천 막국수,서울특별시 동대문구 답십리로48나길 2,11,11230,127.0578139,37.56990105,서울,물 막국수,6500.0,20241231,37.56990105,127.0578139,6500.0
선동 보리밥,서울특별시 성북구 성북로 134-4,11,11290,126.995139,37.59468334,서울,보리밥,9000.0,20241231,37.59468334,126.995139,9000.0
진미옥설렁탕,서울특별시 송파구 가락로16길 3-12 성창빌딩,11,11710,127.1092361,37.50115127,서울,설농탕,9000.0,20241231,37.50115127,127.1092361,9000.0
삼거리먼지막순대국,서울특별시 영등포구 시흥대로185길 11,11,11560,126.9072457,37.49172618,서울,순대국,5000.0,20241231,37.49172618,126.9072457,5000.0
창성옥,서울특별시 용산구 새창로 124-10,11,11170,126.9604141,37.53639737,서울,해장국,7000.0,20241231,37.53639737,126.9604141,7000.0
만석장,서울특별시 은평구 대서문길 43-10,11,11380,126.9495566,37.65584825,서울,목살쌈밥,13000.0,20241231,37.65584825,126.9495566,13000.0
만포면옥본점,서울특별시 은평구 연서로 171 동연빌딩,11,11380,126.9174579,37.61413809,서울,평양냉면,11000.0,20241231,37.61413809,126.9174579,11000.0
신안촌 본점,서울특별시 종로구 사직로12길 8,11,11110,126.970877,37.5756173,서울,낙지 연포탕,15000.0,20241231,37.5756173,126.970877,15000.0
선천,서울특별시 종로구 인사동14길 5,11,11110,126.9863118,37.57311986,서울,한식,12000.0,20241231,37.57311986,126.9863118,12000.0
하나로회관,서울특별시 종로구 인사동5길 25,11,11110,126.9865088,37.57344568,서울,한정식,25000.0,20241231,37.57344568,126.9865088,25000.0
금강섞어찌개명동본점,서울특별시 중구 명동7가길 20-8,11,11140,126.9853245,37.564195,서울,보글보글섞어찌개,9000.0,20241231,37.564195,126.9853245,9000.0
부산복집,서울특별시 중구 수표로2길 25,11,11140,126.9919466,37.5623035,서울,복매운탕,14000.0,20241231,37.5623035,126.9919466,14000.0
을지OB베어,서울특별시 중구 충무로9길 12,11,11140,126.9918207,37.56698663,서울,노가리 1마리당,1000.0,20241231,37.56698663,126.9918207,1000.0
언양한우불고기,울산광역시광역시 울주군 언양읍 헌양길 87-3,31,31710,129.1217837,35.56481219,울산,특미(110g),27000.0,20241231,35.56481219,129.1217837,27000.0
고궁,울산광역시광역시 중구 학성로 95-1,31,31110,129.3213142,35.5555063,울산,정식,11000.0,20241231,35.5555063,129.3213142,11000.0
부영선지국,인천광역시 미추홀구 장천로14번길 20,28,28170,126.6473205,37.45857655,인천,기본선지국,6500.0,20241231,37.45857655,126.6473205,6500.0
알미골,인천광역시 강화군 강화대로 334 알미골식당,28,28710,126.4928883,37.74284168,인천,생등심(국내산한우150g),35000.0,20241231,37.74284168,126.4928883,35000.0
더리미집,인천광역시 강화군 해안동로 1219,28,28110,126.513101,37.72313005,인천,민물장어 1kg (2인분),80000.0,20241231,37.72313005,126.513101,80000.0
삼화정,인천광역시 남동구 남동대로922번길 14,28,28200,126.7090121,37.46459054,인천,꽃등심,39000.0,20241231,37.46459054,126.7090121,39000.0
송원산오리,인천광역시 미추홀구 미추홀대로719번길 28,28,28170,126.6785581,37.4619255,인천,오리코스요리,90000.0,20241231,37.4619255,126.6785581,90000.0
복화루,인천광역시 부평구 부평대로32번길 16,28,28237,126.7239514,37.49430456,인천,짜장면,5500.0,20241231,37.49430456,126.7239514,5500.0
함흥냉면,인천광역시 부평구 시장로20번길 21,28,28237,126.7263152,37.49257029,인천,함흥냉면,7000.0,20241231,37.49257029,126.7263152,7000.0
전동집,인천광역시 연수구 앵고개로103번길 25,28,28185,126.6581121,37.41387257,인천,제육밥상,9000.0,20241231,37.41387257,126.6581121,9000.0
돈비어천가,인천광역시 중구 개항로 53-1,28,28110,126.6285746,37.47256387,인천,왕갈비 300g,18000.0,20241231,37.47256387,126.6285746,18000.0
신동양,인천광역시 중구 서해대로449번길 52,28,28110,126.6316652,37.46715043,인천,짜장면,4000.0,20241231,37.46715043,126.6316652,4000.0
신포순대,인천광역시 중구 제물량로166번길 33,28,28110,126.6262619,37.47153169,인천,순대 (1인분),7000.0,20241231,37.47153169,126.6262619,7000.0
우성식당,전라남도 강진군 강진읍 남문길 2,46,46810,126.7692195,34.6400889,전남,목살1인분(200g,10000.0,20241231,34.6400889,126.7692195,10000.0
해태식당,전라남도 강진군 서성안길 6,46,46810,126.7671886,34.63925042,전남,해태정식(1인),30000.0,20241231,34.63925042,126.7671886,30000.0
대한식당,전라남도 광양시 매일시장길 12-15,46,46230,127.5856503,34.97612047,전남,광양 불고기 국내산(180g),23000.0,20241231,34.97612047,127.5856503,23000.0
신흥장어,전라남도 나주시 다시면 구진포로 58,46,46170,126.6725459,35.00675572,전남,장어구이(소금/양념) 1인분,25000.0,20241231,35.00675572,126.6725459,25000.0
금메달식당,전라남도 목포시 후광대로143번길 8 독도프라자 101호,46,46110,126.4476297,34.81355054,전남,흑산도홍어삼합,125000.0,20241231,34.81355054,126.4476297,125000.0
풍미통닭,전라남도 순천시 성남뒷길 3,46,46150,127.4909335,34.94625732,전남,마늘통닭,18000.0,20241231,34.94625732,127.4909335,18000.0
구백식당,전라남도 여수시 여객선터미널길 18,46,46130,127.7320495,34.73875182,전남,서대회 1인분,12000.0,20241231,34.73875182,127.7320495,12000.0
물망초식당(물망초설렁탕),전라남도 여수시 충무로 54-7,46,46130,127.7316435,34.74156046,전남,설렁탕,8000.0,20241231,34.74156046,127.7316435,8000.0
전주식당,전라남도 함평군 신기산길 22,46,46860,126.5190841,35.06590199,전남,한우 생고기 비빔밥,8000.0,20241231,35.06590199,126.5190841,8000.0
쌍용반점,전라북도 군산시 내항2길 121,45,45130,126.7102247,35.99307096,전북,해물짬뽕,8000.0,20241231,35.99307096,126.7102247,8000.0
운정식당,전라북도 군산시 중정길 8-2,45,45130,126.7142763,35.98472766,전북,녹두삼계탕,15000.0,20241231,35.98472766,126.7142763,15000.0
유락식당,전라북도 군산시 해망로 146-25 유락,45,45130,126.7206057,35.98767534,전북,반지회덮밥,14000.0,20241231,35.98767534,126.7206057,14000.0
할매추어탕,전라북도 남원시 요천로 1467,45,45190,127.3820231,35.40333731,전북,추어탕,9000.0,20241231,35.40333731,127.3820231,9000.0
신촌매운탕,전라북도 남원시 원천로 27-8,45,45190,127.3957358,35.4101497,전북,메기매운탕,30000.0,20241231,35.4101497,127.3957358,30000.0
계화회관,전라북도 부안군 행안면 변산로 95,45,45800,126.7106792,35.72906069,전북,백합죽,10000.0,20241231,35.72906069,126.7106792,10000.0
무진장갈비촌,전라북도 익산시 선화로31길 58,45,45140,126.9560054,35.95056612,전북,무진장한우암소특선모듬 (500g),90000.0,20241231,35.95056612,126.9560054,90000.0
진미식당,전라북도 익산시 황등면 황등리 902-2,45,45140,126.9447102,36.00528095,전북,(특)육회 비빈밥,11000.0,20241231,36.00528095,126.9447102,11000.0
늘채움,전라북도 전주시 덕진구 덕진연못3길 6,45,45113,127.1206387,35.84656263,전북,늘채움정식,19500.0,20241231,35.84656263,127.1206387,19500.0
대일정,전라북도 정읍시 수학정석길 3 대일정,45,45180,126.942973,35.65175987,전북,참게장 정식,20000.0,20241231,35.65175987,126.942973,20000.0
향원복집,제주특별자치도 서귀포시 부두로 43,50,50130,126.5647802,33.24117218,제주,복사시미,120000.0,20241231,33.24117218,126.5647802,120000.0
큰댁,충청남도 천안시 서북구 성정중4길 30,44,44133,127.1362593,36.82674402,충남,큰댁정식,35000.0,20241231,36.82674402,127.1362593,35000.0
동해루,충청남도 홍성군 홍성읍 아문길29번길 48,44,44800,126.6639045,36.60136685,충남,짜장,4000.0,20241231,36.60136685,126.6639045,4000.0
재건갈비,충청북도 청주시 서원구 청남로 2104,44,43110,127.4877995,36.61967532,충북,갈비찜 1인분,12000.0,20241231,36.61967532,127.4877995,12000.0
황산옥,충청남도 논산시 강경읍 금백로 34,44,44230,127.0092821,36.15646781,충남,생복찜,80000.0,20241231,36.15646781,127.0092821,80000.0
마일드치킨,충청남도 서산시 번화1로 41-1,44,44210,126.4539556,36.78271952,충남,후라이드치킨,15000.0,20241231,36.78271952,126.4539556,15000.0
큰마을영양굴밥,충청남도 서산시 부석면 간월도1길 65,44,44210,126.4164478,36.60953879,충남,영양굴밥,12000.0,20241231,36.60953879,126.4164478,12000.0
은정갈비,충청남도 아산시 시민로 384,44,44200,127.0008094,36.78280876,충남,돼지갈비(200g),13000.0,20241231,36.78280876,127.0008094,13000.0
진주회관,충청남도 천안시 서북구 성환읍 성환11길 15,44,44130,127.1296349,36.91694934,충남,진주불고기,13000.0,20241231,36.91694934,127.1296349,13000.0
딴뚝통나무집식당,충청남도 태안군 안면읍 조운막터길 23-22,44,44825,126.3509714,36.5094215,충남,게국지,50000.0,20241231,36.5094215,126.3509714,50000.0
서울식당,충청북도 괴산군 괴산읍 읍내로 283-1,43,43760,127.7940349,36.80869564,충북,올갱이 해장국,7000.0,20241231,36.80869564,127.7940349,7000.0
금강식당,충청북도 단양군 백자1길 11 금강식당,43,43800,128.4840026,37.04271218,충북,금강 정식,18000.0,20241231,37.04271218,128.4840026,18000.0
일미해장국,충청북도 옥천군 금장로 105,43,43730,127.5746088,36.29856667,충북,해제비,6000.0,20241231,36.29856667,127.5746088,6000.0
영빈관,충청북도 음성군 음성읍 읍내리 시장로 115번길 5,43,43770,127.6912335,36.93722274,충북,짜장면,5000.0,20241231,36.93722274,127.6912335,5000.0
노송식당,충청북도 제천시 내토로43길 5,43,43150,128.2131788,37.12817518,충북,가자미 양념구이,8000.0,20241231,37.12817518,128.2131788,8000.0
동원가든,충청북도 제천시 봉양읍 제원로10길 55,43,43150,128.1041157,37.18690934,충북,능이백숙,57000.0,20241231,37.18690934,128.1041157,57000.0
송애집,충청북도 진천군 초평면 초평로 1051-5,43,43750,127.5180389,36.81360226,충북,붕어 찜(대),17000.0,20241231,36.81360226,127.5180389,17000.0
단골집,충청북도 진천군 초평면 초평로 1053,43,43750,127.5176057,36.81318765,충북,붕어찜(대),17000.0,20241231,36.81318765,127.5176057,17000.0
신화당,충청북도 청주시 상당구 대성로22번길 5-1,43,43111,127.4937059,36.62728679,충북,우동,4000.0,20241231,36.62728679,127.4937059,4000.0
남주동해장국,충청북도 청주시 상당구 무심동로304번길 10,43,43111,127.4851814,36.629276,충북,해장국(특),9000.0,20241231,36.629276,127.4851814,9000.0
공원당,충청북도 청주시 상당구 상당로55번길 40-2,43,43111,127.4886146,36.63309657,충북,왕새우까스,12000.0,20241231,36.63309657,127.4886146,12000.0
남들갈비,충청북도 청주시 서원구 청남로2133번길 8,43,43112,127.4875292,36.62287003,충북,돼지갈비 (600g),24000.0,20241231,36.62287003,127.4875292,24000.0
금수장장어구이,충청북도 청주시 서원구 현도면 청남로 16,43,43112,127.4285959,36.45803134,충북,장어구이,27000.0,20241231,36.45803134,127.4285959,27000.0
대동관,충청북도 청주시 청원구 내수로 733,43,43710,127.5362814,36.72686357,충북,자장면,3000.0,20241231,36.72686357,127.5362814,3000.0
리정,충청북도 청주시 청원구 우암로 71-1,43,43710,127.486687,36.65467587,충북,육개장,8000.0,20241231,36.65467587,127.486687,8000.0
삼미족발,충청북도 청주시 청원구 향군로 35,43,43710,127.4863426,36.64886118,충북,미니족발,25000.0,20241231,36.64886118,127.4863426,25000.0
복서울해장국,충청북도 충주시 관아1길 16,43,43130,127.9351081,36.97026545,충북,선지해장국,7000.0,20241231,36.97026545,127.9351081,7000.0
대장군식당,충청북도 충주시 수안보면 미륵송계로 105,43,43130,128.0161694,36.84169303,충북,전통 꿩요리 B코스(2인이상),30000.0,20241231,36.84169303,128.0161694,30000.0
이문 설농탕,서울특별시 종로구 견지동 88,11,11110,126.98389,37.572738,서울,설렁탕,,20241231,37.572738,126.98389,
하얀집,전라남도 나주시 중앙동 48-17,46,46170,126.717027,35.032266,전남,"곰탕,수육",,20241231,35.032266,126.717027,
내호냉면,부산광역시 남구 우암2동 189-571,26,26290,129.070262,35.126713,부산,함흥냉면,,20241231,35.126713,129.070262,
박달집,부산광역시 금정구 금샘로 377,26,26410,129.084256,35.256874,부산,전통개장국,,20241231,35.256874,129.084256,
안일옥,경기도 안성시 영동 25-1,41,41550,127.272828,37.007577,경기,설렁탕,,20241231,37.007577,127.272828,
함양집,울산광역시 남구 삼산로228번길 19,31,31140,129.332848,35.536478,울산,전통비빔밥,,20241231,35.536478,129.332848,
천일식당,전라남도 해남군 해남읍 읍내리 34,46,46820,126.599225,34.570962,전남,떡갈비,,20241231,34.570962,126.599225,
형제 추어탕,서울특별시 종로구 평창동 281-1,11,11110,126.964576,37.603845,서울,추어탕,,20241231,37.603845,126.964576,
천황식당,경상남도 진주시 대안동 4-1,48,48170,128.084434,35.196078,경남,진주비빔밥,,20241231,35.196078,128.084434,
기장곰장어,부산광역시 기장군 기장읍 시랑리 572-4,26,26710,129.211368,35.185326,부산,짚불곰장어,,20241231,35.185326,129.211368,
삼대 광양 불고기집,전라남도 광양시 광양읍 칠성리 959-11,46,46230,127.5788,34.970159,전남,불고기,,20241231,34.970159,127.5788,
황산옥,충청남도 논산시 강경읍 황산리 81-16,44,44230,127.009274,36.156493,충남,생복찜,,20241231,36.156493,127.009274,
신식당,전라남도 담양군 담양읍 담주리 68,46,46710,126.98127,35.321459,전남,떡갈비,,20241231,35.321459,126.98127,
용금옥,서울특별시 중구 다동 165-1,11,11140,126.98054,37.567663,서울,추탕,,20241231,37.567663,126.98054,
은호식당,서울특별시 중구 남창동 50-43,11,11140,126.977013,37.559019,서울,꼬리토막,,20241231,37.559019,126.977013,
곰보추탕,서울특별시 동대문구 용신동 767-6,11,11230,127.026739,37.57874,서울,추탕,,20241231,37.57874,127.026739,
잼배옥,서울특별시 중구 서소문동 64-4,11,11140,126.973728,37.562505,서울,설렁탕,,20241231,37.562505,126.973728,
연춘,충청남도 아산시 득산동 15-1,44,44200,126.976271,36.775717,충남,장어구이,,20241231,36.775717,126.976271,
청진옥,서울특별시 종로구 종로1가 24,11,11110,126.97984,37.570847,서울,해장국,,20241231,37.570847,126.97984,
진주회관,충청남도 천안시 서북구 성환읍 성환리 449-175,44,44133,127.129631,36.916933,충남,불고기,,20241231,36.916933,127.129631,
하동관,서울특별시 중구 명동1가 10-4,11,11140,126.985111,37.564459,서울,곰탕,,20241231,37.564459,126.985111,
한일관(서울),서울특별시 강남구 신사동 619-4,11,11680,127.032492,37.527833,서울,"불고기, 냉면",,20241231,37.527833,127.032492,
동래 할매 파전,부산광역시 동래구 복천동 367-2,26,26260,129.083814,35.204616,부산,동래파전,,20241231,35.204616,129.083814,
영명식당,전라남도 영암군 학산면 독천리 184,46,46830,126.56734,34.724923,전남,갈낙탕,,20241231,34.724923,126.56734,
옥천옥,서울특별시 동대문구 신설동 94-57,11,11230,127.026979,37.57247,서울,설렁탕,,20241231,37.57247,127.026979,
소복식당,충청남도 예산군 예산읍 예산리 210-10,44,44810,126.850225,36.679576,충남,소갈비,,20241231,36.679576,126.850225,
할머니집,경기도 오산시 오산동 432-1,41,41370,127.069127,37.15373,경기,소머리국밥,,20241231,37.15373,127.069127,
전통 경주할매집,경상북도 경주시 황남동 200-2,47,47130,129.215999,35.835816,경북,쌈밥정식,,20241231,35.835816,129.215999,
남성식당,경상남도 창원시 마산합포구 오동동 251-8,48,48125,128.579257,35.20498,경남,복국,,20241231,35.20498,128.579257,
삼백집,전라북도 전주시 완산구 고사동 454-1,45,45111,127.141123,35.817917,전북,콩나물국밥,,20241231,35.817917,127.141123,
평양옥(인천),인천광역시 중구 신흥동 3가 18,28,28110,126.638665,37.463861,인천,해장국,,20241231,37.463861,126.638665,
하연옥,경상남도 진주시 이현동 1191,48,48170,128.060668,35.19392,경남,진주물냉면,,20241231,35.19392,128.060668,
국일 따로국밥,대구광역시 중구 전동 7-1,27,30140,128.593168,35.871113,대구,따로국밥,,20241231,35.871113,128.593168,
송정3대 국밥,부산광역시 부산광역시진구 부전2동 255-15,26,26230,129.075086,35.179843,부산,돼지국밥,,20241231,35.179843,129.075086,
우래옥,서울특별시 중구 주교동 118-1,11,11140,126.998735,37.568198,서울,평양냉면,,20241231,37.568198,126.998735,
